                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.37069,                0.22007,                0.77361,                0.96042,                 0.8669,                0.92561,                0.84737,                0.28662,                0.18253,                0.78523,               0.002806,               0.002806,               0.002806
                    111,                 0.3693,                0.21963,                0.77401,                0.96231,                0.86596,                0.92529,                0.84696,                 0.2868,                0.18251,                0.78529,                0.00274,                0.00274,                0.00274
                    112,                0.37139,                0.21925,                 0.7733,                0.96076,                0.86655,                0.92482,                0.84786,                0.28535,                0.18133,                0.78534,               0.002674,               0.002674,               0.002674
                    113,                0.36719,                0.21866,                0.77301,                0.96106,                0.86737,                0.92518,                0.84767,                0.28516,                0.18039,                0.78507,               0.002608,               0.002608,               0.002608
                    114,                0.36598,                 0.2157,                0.77306,                0.95877,                0.86838,                0.92451,                0.84675,                0.28698,                0.18075,                0.78547,               0.002542,               0.002542,               0.002542
                    115,                0.36492,                0.21458,                 0.7727,                0.95925,                0.86704,                0.92436,                0.84816,                0.28519,                0.17944,                0.78529,               0.002476,               0.002476,               0.002476
                    116,                0.36462,                0.21428,                0.77193,                0.95882,                0.86843,                 0.9246,                0.84827,                0.28587,                0.17958,                0.78549,                0.00241,                0.00241,                0.00241
                    117,                0.35822,                0.21096,                0.77092,                0.95697,                0.86853,                0.92519,                0.84929,                0.28517,                0.17922,                0.78528,               0.002344,               0.002344,               0.002344
                    118,                0.35927,                0.21073,                 0.7709,                0.95937,                0.86841,                0.92534,                0.84549,                0.28341,                0.17849,                0.78553,               0.002278,               0.002278,               0.002278
                    119,                0.35964,                0.21162,                0.77118,                0.96071,                 0.8687,                0.92488,                0.84552,                0.28518,                0.17831,                0.78545,               0.002212,               0.002212,               0.002212
